Wall time,Step,Value
1678258666.6911483,42,0.675376832485199
1678258687.237569,167,0.33868974447250366
1678258703.4471333,228,0.28839772939682007
1678258750.1425962,472,0.26066309213638306
1678258760.0238414,534,0.25473567843437195
1678258768.4136426,584,0.2661014795303345
1678258778.3950088,645,0.2614502012729645
1678258852.0743055,1010,0.2397281676530838
1678258911.147517,1328,0.24924981594085693
1678258926.2611752,1379,0.23627284169197083
1678258934.480766,1430,0.25037881731987
1678258989.2209353,1727,0.24463215470314026
1678258989.7039714,1730,0.21037684381008148
1678259018.472145,1869,0.22325241565704346
1678259104.0293636,2297,0.18974721431732178
1678259116.9188867,2379,0.19903863966464996
1678259138.3810062,2475,0.18594194948673248
1678259170.0430288,2674,0.19387368857860565
1678259271.213152,3232,0.18887868523597717
1678259279.8628957,3291,0.1616382747888565
1678259458.8406699,4298,0.14473460614681244
1678259471.2797494,4381,0.13464635610580444
1678259496.68126,4472,0.1475141942501068
1678259499.307777,4489,0.12992851436138153
1678259580.4370847,4949,0.13623185455799103
1678259605.0771666,5112,0.13360781967639923
1678259642.6296525,5322,0.12968263030052185
1678259710.942611,5698,0.11625349521636963
1678259744.493472,5881,0.12225063890218735
1678259756.9003143,5964,0.1295555680990219
1678259794.0668788,6173,0.11648222804069519
1678259880.6402435,6670,0.10850425064563751
1678259882.4547312,6682,0.11806733906269073
1678259915.133386,6824,0.12000393122434616
1678259937.36702,6935,0.10707396268844604
1678259965.3110838,7124,0.1101125180721283
1678260022.5383408,7430,0.10701502114534378
1678260079.0728362,7764,0.10315722227096558
1678260084.4436448,7799,0.09517320990562439
1678260130.5716293,8030,0.09716571122407913
1678260147.3649473,8144,0.09138362109661102
1678260153.3787096,8185,0.11588463187217712
1678260200.697814,8461,0.10288164019584656
1678260268.8656664,8839,0.10429698973894119
1678260277.187023,8896,0.092403843998909
1678260342.623414,9219,0.0865173414349556
1678260379.0169108,9426,0.10145942121744156
1678260391.7254024,9512,0.09906387329101562
1678260418.7831929,9655,0.09714414924383163
1678260539.1000266,10353,0.0845767930150032
1678260550.8754468,10433,0.08986014872789383
1678260557.16669,10476,0.09103292226791382
1678260625.3269222,10857,0.08082772046327591
1678260634.6845849,10918,0.0781603530049324
1678260648.850542,10971,0.08479688316583633
1678260741.9876788,11481,0.08099916577339172
1678260746.9747553,11515,0.08081130683422089
1678260817.6969209,11916,0.08667115122079849
1678260818.482316,11921,0.07854754477739334
1678260852.0227177,12110,0.09042796492576599
1678260870.4847379,12236,0.07772985100746155
1678260974.1793106,12820,0.08125285804271698
1678261002.9852552,12976,0.07175140827894211
1678261006.9751062,13003,0.07649366557598114
1678261106.5543022,13560,0.07924000173807144
1678261223.4889674,14231,0.07441698014736176
1678261290.5585594,14603,0.06429295986890793
