Wall time,Step,Value
1678174085.5240538,42,0.6879433393478394
1678174105.8201432,167,0.3918434679508209
1678174122.1641095,228,0.3051851689815521
1678174168.578643,472,0.29647544026374817
1678174178.996095,534,0.3031969964504242
1678174187.171409,584,0.27271926403045654
1678174197.3078518,645,0.292915403842926
1678174269.2530692,1010,0.2862500846385956
1678174326.4193406,1328,0.27135899662971497
1678174340.572993,1379,0.2859654724597931
1678174348.4558806,1430,0.28102415800094604
1678174401.214529,1727,0.26319989562034607
1678174401.6663964,1730,0.26476338505744934
1678174429.159171,1869,0.2291441261768341
1678174514.8297777,2297,0.267642617225647
1678174527.9424558,2379,0.24298785626888275
1678174549.808311,2475,0.2366483509540558
1678174581.7917194,2674,0.2586980164051056
1678174688.9477527,3232,0.2119533270597458
1678174698.5305803,3291,0.21934720873832703
1678174941.8509529,4298,0.1992282122373581
1678174955.091903,4381,0.20911385118961334
1678174981.7750928,4472,0.19682163000106812
1678174984.4567747,4489,0.20379014313220978
1678175070.5562973,4949,0.18289496004581451
1678175096.7427742,5112,0.17612381279468536
1678175137.1247494,5322,0.17553812265396118
1678175208.7789717,5698,0.17396877706050873
1678175243.9042976,5881,0.1824285387992859
1678175256.832545,5964,0.16320471465587616
1678175295.750306,6173,0.16553667187690735
1678175387.0810263,6670,0.15864314138889313
1678175388.9949727,6682,0.15784157812595367
1678175423.7711039,6824,0.1467917412519455
1678175447.650016,6935,0.1642230898141861
1678175476.9072769,7124,0.1518385261297226
1678175536.9957118,7430,0.14573481678962708
1678175597.5600548,7764,0.1422705352306366
1678175603.3058696,7799,0.13424824178218842
1678175653.0424414,8030,0.1605173498392105
1678175670.9923408,8144,0.15518580377101898
1678175677.6102808,8185,0.148648202419281
1678175728.7534373,8461,0.1479164958000183
1678175802.4994836,8839,0.13772957026958466
1678175811.4692326,8896,0.12673917412757874
1678175882.2203894,9219,0.13667406141757965
1678175922.318246,9426,0.14374719560146332
1678175936.2943475,9512,0.1453443169593811
1678175965.751784,9655,0.13155297935009003
1678176095.6158066,10353,0.13222083449363708
1678176108.0789335,10433,0.13616104423999786
1678176114.8325303,10476,0.1276729255914688
1678176187.6993067,10857,0.1396234631538391
1678176197.415879,10918,0.12179308384656906
1678176212.379309,10971,0.12949083745479584
1678176311.009384,11481,0.1308704912662506
